"county","state","women","median_income","democrat_2008","dist_to_closest_facility_miles","abortion_count_2010","highly_restrictive"
"autauga","alabama",28172,53099,0.257730214457933,14.3242837993746,93,1
"baldwin","alabama",102139,51365,0.238119219289303,24.3308811359374,104,1
"barbour","alabama",12375,33956,0.489853826311264,49.7185196844111,39,1
"bibb","alabama",10488,39776,0.265964831096714,26.7089556414569,19,1
"blount","alabama",29132,46212,0.145135369019656,33.0544430001683,44,1
"bullock","alabama",4833,29335,0.740720221606648,39.4305283678998,23,1
"butler","alabama",10758,34315,0.431352353486456,45.6222209749869,23,1
"calhoun","alabama",60141,41954,0.331708703951911,57.6656997291428,241,1
"chambers","alabama",17719,36027,0.454600160470714,30.5321366358237,22,1
"cherokee","alabama",13014,38925,0.236634171369933,65.3080657766375,14,1
"chilton","alabama",22258,42594,0.20657857745291,41.6380537553199,53,1
"choctaw","alabama",6938,32622,0.460602989612364,92.7327830162234,19,1
"clarke","alabama",13109,32735,0.440193524376628,72.327190429348,32,1
"clay","alabama",6951,38815,0.258102361050007,57.9239395157922,14,1
"cleburne","alabama",7568,36316,0.179913739987677,60.2652359412847,9,1
"coffee","alabama",25781,47872,0.252335055643879,73.616211321196,48,1
"colbert","alabama",28106,43786,0.390572797166204,59.6930974457686,66,1
"conecuh","alabama",6669,27609,0.493878726775169,76.8474887534131,12,1
"coosa","alabama",5509,31910,0.408592486068668,42.9358749683568,7,1
"covington","alabama",19510,37313,0.205232153037309,74.9234450721639,26,1
"crenshaw","alabama",7033,37557,0.308059132093467,42.9130025098469,16,1
"cullman","alabama",41116,39297,0.166095453901714,42.5204815722518,73,1
"dale","alabama",25164,44093,0.272774327122153,78.2165601795777,51,1
"dallas","alabama",22298,28136,0.67072702858239,42.6672238225097,107,1
"dekalb","alabama",35803,38248,0.235602748282324,51.1642102359838,37,1
"elmore","alabama",41610,53398,0.241905872067609,14.1478412206463,114,1
"escambia","alabama",18485,32334,0.353550497478533,58.6298879865187,22,1
"etowah","alabama",53356,40478,0.301696582247357,56.0577906433231,132,1
